"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","625bd628bbe7",,,,"User:","root"
"Cmdline:","dstat -Ta --noupdate --noheader --vmstat --output /root/dstat_logs//dstat-1538056809.log 10",,,,"Date:","27 Sep 2018 14:00:09 UTC"

"epoch","total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,,
"epoch","usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq"
1538056809.432,0.988,0.051,98.922,0.038,0.0,0.001,6811.507,148412.846,0.0,0.0,0.0,0.0,121.212,187.653,0.0,0.0,0.681,804929536.0,191074304.0,2746925056.0,202657792.0,0.0,0.0,6811.507,148412.846,121.212,187.653,0.988,0.051,98.922,0.038,0.0,0.001
1538056819.442,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.200,103.0,0.0,0.0,0.0,804896768.0,191074304.0,2746957824.0,202657792.0,0.0,0.0,0.0,0.0,64.200,103.0,0.0,0.0,100.0,0.0,0.0,0.0
1538056829.442,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1638.400,0.0,0.0,0.0,0.0,61.300,98.300,0.0,0.0,0.0,804896768.0,191074304.0,2746957824.0,202657792.0,0.0,0.0,0.0,1638.400,61.300,98.300,0.0,0.0,100.0,0.0,0.0,0.0
1538056839.442,0.0,0.0,100.0,0.0,0.0,0.0,0.0,9830.400,0.0,0.0,0.0,0.0,62.900,103.400,0.0,0.0,0.0,804892672.0,191074304.0,2746961920.0,202657792.0,0.0,0.0,0.0,9830.400,62.900,103.400,0.0,0.0,100.0,0.0,0.0,0.0
1538056849.442,0.100,0.0,99.900,0.0,0.0,0.0,0.0,819.200,0.0,0.0,0.0,0.0,61.700,101.900,0.0,0.0,0.0,804892672.0,191074304.0,2746961920.0,202657792.0,0.0,0.0,0.0,819.200,61.700,101.900,0.100,0.0,99.900,0.0,0.0,0.0
1538056859.442,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,98.100,0.0,0.0,0.0,804892672.0,191074304.0,2746961920.0,202657792.0,0.0,0.0,0.0,0.0,61.0,98.100,0.0,0.0,100.0,0.0,0.0,0.0
1538056869.442,0.050,0.0,99.950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.900,105.200,0.0,0.0,0.0,804892672.0,191074304.0,2746961920.0,202657792.0,0.0,0.0,0.0,0.0,65.900,105.200,0.050,0.0,99.950,0.0,0.0,0.0
1538056879.442,0.050,0.0,99.950,0.0,0.0,0.0,0.0,13926.400,0.0,0.0,0.0,0.0,64.800,104.600,0.0,0.0,0.0,804892672.0,191074304.0,2746961920.0,202657792.0,0.0,0.0,0.0,13926.400,64.800,104.600,0.050,0.0,99.950,0.0,0.0,0.0
1538056889.442,0.0,0.0,100.0,0.0,0.0,0.0,0.0,819.200,0.0,0.0,0.0,0.0,55.700,93.200,0.0,0.0,0.0,804892672.0,191074304.0,2746961920.0,202657792.0,0.0,0.0,0.0,819.200,55.700,93.200,0.0,0.0,100.0,0.0,0.0,0.0
